latitude,longitude,geometry,Label
45.438955,-75.952218,Point,Entrance to the cemetery!
45.438914, -75.952457,Point,Mary Ann & Hamnett Kirkes Pinhey- 1852 & 1837
45.438889, -75.952521,Point,Arabella L. Pinhey- 1905
45.438880, -75.952511,Point,Horace & Catherine Pinhey- 1875 & 1898
45.438868, -75.952500,Point,Charles Towley Pinhey- 1879
45.438811, -75.952479,Point,Muriel- 1895
45.438860, -75.952326,Point,John Wilson & Helen Beatty- 1881 & 1899
45.438868, -75.952332,Point,Jane Wilson- 1818
45.438874, -75.952348,Point,John Beatty- 1838
45.438882, -75.952296,Point,Slack Family
45.438793, -75.952460,Point,Elizabeth Mary Greene- 1877
45.438686, -75.952320,Point, James Rolston & Elizabeth Little- 1892 & 1890
45.438676, -75.952307,Point, William & Emeline Elizabeth Rolston- 1870
45.438648, -75.952211,Point,James Read- 1885(?)
45.438802, -75.952345,Point,Read Family
45.438692, -75.952219,Point,Mary Ann & Ellen Frances Lloyd- 1860
45.438666, -75.952172,Point,Grace Read- 1861
45.438653, -75.952170,Point,James Read- 1861
45.438647, -75.952162,Point,Oceana Read- 1882
45.438631, -75.952145,Point,Frederick Henry Street & Sarah Jane- 1862 & 1880
45.438655, -75.952089,Point,Harriott Boomer- 1852
45.438672, -75.952126,Point,Greene Family
45.438714, -75.952179,Point, Eliza Ann Fitzgerald- 1817
45.438731, -75.952134,Point,Jordan Family
45.438846, -75.952285,Point,Benjamin Street- 1838
45.438855, -75.952258,Point, JB Smith- 1861
45.438710, -75.952158,Point, John Benning Monk- 1854
